Country,Sex,Currency,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,Total (Sex),U.S. dollars (Currency),336,,521,531,621,767,865,914,800,,,
Argentina,Male (Sex),U.S. dollars (Currency),388,,593,593,695,862,972,1027,898,,,
Argentina,Female (Sex),U.S. dollars (Currency),271,,429,452,525,643,728,769,675,,,
Brazil,Total (Sex),U.S. dollars (Currency),,,,,,,724,711,711,552,590,
Brazil,Male (Sex),U.S. dollars (Currency),,,,,,,813,796,800,618,654,
Brazil,Female (Sex),U.S. dollars (Currency),,,,,,,619,610,609,476,516,
Denmark,Total (Sex),U.S. dollars (Currency),,,,,,,,,5570,,,
Denmark,Male (Sex),U.S. dollars (Currency),,,,,,,,,6185,,,
Denmark,Female (Sex),U.S. dollars (Currency),,,,,,,,,5024,,,
Finland,Total (Sex),U.S. dollars (Currency),,,,4131,4033,4033,,4072,4069,3367,,
Finland,Male (Sex),U.S. dollars (Currency),,,,4573,4453,4571,,4602,4585,3761,,
Finland,Female (Sex),U.S. dollars (Currency),,,,3708,3625,3571,,3610,3625,3026,,
France,Total (Sex),U.S. dollars (Currency),,,,,3400,,,,3682,,,
France,Male (Sex),U.S. dollars (Currency),,,,,3703,,,,4027,,,
France,Female (Sex),U.S. dollars (Currency),,,,,3049,,,,3300,,,
Germany,Total (Sex),U.S. dollars (Currency),,,,,3817,,,,4040,,,
Germany,Male (Sex),U.S. dollars (Currency),,,,,4236,,,,4516,,,
Germany,Female (Sex),U.S. dollars (Currency),,,,,3291,,,,3504,,,
"Hong Kong, China",Total (Sex),U.S. dollars (Currency),,,,,,1413,1547,1612,1677,1832,1932,
"Hong Kong, China",Male (Sex),U.S. dollars (Currency),,,,,,1670,1805,1934,1934,2129,2319,
"Hong Kong, China",Female (Sex),U.S. dollars (Currency),,,,,,1156,1289,1354,1419,1509,1546,
Italy,Total (Sex),U.S. dollars (Currency),,,,,3028,,,,3261,,,
Italy,Male (Sex),U.S. dollars (Currency),,,,,3232,,,,3534,,,
Italy,Female (Sex),U.S. dollars (Currency),,,,,2760,,,,2915,,,
Mexico,Total (Sex),U.S. dollars (Currency),,,,,,,,420,403,350,311,
Mexico,Male (Sex),U.S. dollars (Currency),,,,,,,,444,425,370,329,
Mexico,Female (Sex),U.S. dollars (Currency),,,,,,,,381,365,316,280,
Russian Federation,Total (Sex),U.S. dollars (Currency),,,,570,,,,,,540,,
Russian Federation,Male (Sex),U.S. dollars (Currency),,,,695,,,,,,634,,
Russian Federation,Female (Sex),U.S. dollars (Currency),,,,472,,,,,,460,,
Saudi Arabia,Total (Sex),U.S. dollars (Currency),,,,,,,,,1626,,,
Saudi Arabia,Male (Sex),U.S. dollars (Currency),,,,,,,,,1627,,,
Saudi Arabia,Female (Sex),U.S. dollars (Currency),,,,,,,,,1620,,,
South Africa,Total (Sex),U.S. dollars (Currency),,,,,,831,821,849,,,,
South Africa,Male (Sex),U.S. dollars (Currency),,,,,,919,898,937,,,,
South Africa,Female (Sex),U.S. dollars (Currency),,,,,,720,728,741,,,,
Turkey,Total (Sex),U.S. dollars (Currency),,,,,,,,,1010,,,
Turkey,Male (Sex),U.S. dollars (Currency),,,,,,,,,1015,,,
Turkey,Female (Sex),U.S. dollars (Currency),,,,,,,,,999,,,
United Kingdom,Total (Sex),U.S. dollars (Currency),,,,,,3392,3365,3411,,3373,3080,
United Kingdom,Male (Sex),U.S. dollars (Currency),,,,,,4148,4091,4157,,4068,3712,
United Kingdom,Female (Sex),U.S. dollars (Currency),,,,,,2613,2619,2650,,2666,2437,
