"HOUSEHOLD DATA 
ANNUAL AVERAGES 
37.  Median weekly earnings of full-time wage and salary workers by selected characteristics",,,,
,,,,
Characteristic,"Number of workers
(in thousands)",,Median weekly earnings,
,2015,2016,2015,2016
,,,,
SEX AND AGE,,,,
"Total, 16 years and over","109,080","111,091",$809,$832
,,,,
"Men, 16 years and over","60,746","61,930",895,915
16 to 24 years,"5,476","5,646",510,512
25 years and over,"55,270","56,284",947,969
,,,,
"Women, 16 years and over","48,334","49,161",726,749
16 to 24 years,"4,314","4,430",450,486
25 years and over,"44,020","44,731",761,784
,,,,
RACE AND HISPANIC OR LATINO ETHNICITY,,,,
White,"85,443","86,474",835,862
Men,"48,746","49,310",920,942
Women,"36,698","37,163",743,766
,,,,
Black or African American,"13,587","13,963",641,678
Men,"6,445","6,728",680,718
Women,"7,142","7,235",615,641
,,,,
Asian,"6,638","7,030",993,"1,021"
Men,"3,684","3,888","1,129","1,151"
Women,"2,954","3,142",877,902
,,,,
Hispanic or Latino ethnicity,"18,311","18,950",604,624
Men,"11,142","11,666",631,663
Women,"7,168","7,284",566,586
,,,,
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data.",,,,
