By education,Median weekly earnings in 2016
"Men, 25 years and over",969
Less than a high school diploma,551
"High school graduates, no college(3)",769
Some college or associate degree,896
"Some college, no degree",861
Associate degree,951
Bachelor's degree and higher,"1,464"
Bachelor's degree only,"1,348"
Advanced degree(4),"1,707"
"Women, 25 years and over",784
Less than a high school diploma,423
"High school graduates, no college(3)",599
Some college or associate degree,688
"Some college, no degree",665
Associate degree,720
Bachelor's degree and higher,"1,101"
Bachelor's degree only,994
Advanced degree(4),"1,257"
