By occupation,Total Number of Workers in 2018,Median weekly earnings in 2018,Total Number of Men Workers in 2018,Median weekly earnings of men in 2018,Total Number of Women Workers in 2018,Median weekly earnings of women in 2018,Total Number of Workers in 2017,Median weekly earnings in 2017,Total Number of Men Workers in 2017,Median weekly earnings of men in 2017,Total Number of Women Workers in 2017,Median weekly earnings of women in 2017,Total Number of Workers in 2016,Median weekly earnings in 2016,Total Number of Men Workers in 2016,Median weekly earnings of men in 2016,Total Number of Women Workers in 2016,Median weekly earnings of women in 2016
"Total, full-time wage and salary workers","115,567",$886,"64,142",$973,"51,425",$789,"113,272",$860,"62,980",$941,"50,291",$770,"111,091",$832,"61,930",$915,"49,161",$749
"Management, professional, and related occupations","48,808","1,246","23,685","1,468","25,123","1,078","47,207","1,224","22,815","1,442","24,393","1,052","45,930","1,188","22,256","1,420","23,674","1,027"
"Management, business, and financial operations occupations","19,863","1,355","10,668","1,537","9,195","1,168","19,414","1,327","10,415","1,526","8,999","1,134","19,023","1,284","10,261","1,491","8,761","1,099"
Management occupations,"13,477","1,429","7,754","1,585","5,724","1,236","13,169","1,392","7,568","1,573","5,600","1,173","12,828","1,370","7,514","1,539","5,314","1,148"
Chief executives,"1,098","2,291",790,"2,488",307,"1,736","1,136","2,296",823,"2,415",313,"1,920","1,150","2,303",832,"2,419",318,"1,876"
General and operations managers,939,"1,338",656,"1,427",283,"1,139",920,"1,328",598,"1,488",321,"1,134",876,"1,266",626,"1,358",250,"1,037"
Legislators,14,–,10,–,4,–,14,–,5,–,9,–,11,–,6,–,6,–
Advertising and promotions managers,39,–,23,–,16,–,53,"1,330",24,–,29,–,56,"1,332",24,–,32,–
Marketing and sales managers,963,"1,567",517,"1,852",447,"1,362",994,"1,509",566,"1,747",428,"1,288",921,"1,468",518,"1,745",403,"1,142"
Public relations and fundraising managers,61,"1,415",18,–,43,–,71,"1,318",24,–,47,–,60,"1,532",21,–,38,–
Administrative services managers,147,"1,215",101,"1,266",46,–,147,"1,233",89,"1,629",57,"1,013",172,"1,261",101,"1,398",71,952
Computer and information systems managers,601,"1,877",448,"1,920",153,"1,727",594,"1,843",428,"1,897",165,"1,629",592,"1,738",443,"1,756",150,"1,680"
Financial managers,"1,158","1,466",495,"1,784",663,"1,262","1,111","1,412",500,"1,719",611,"1,222","1,105","1,423",527,"1,670",578,"1,157"
Compensation and benefits managers,21,–,5,–,16,–,16,–,5,–,11,–,16,–,3,–,12,–
Human resources managers,294,"1,381",73,"1,761",221,"1,330",304,"1,448",92,"1,748",211,"1,280",263,"1,340",73,"1,737",190,"1,283"
Training and development managers,52,"1,448",21,–,31,–,58,"1,396",23,–,35,–,58,"1,507",27,–,31,–
Industrial production managers,243,"1,465",188,"1,573",55,"1,296",265,"1,486",202,"1,526",63,"1,312",267,"1,361",201,"1,409",66,"1,219"
Purchasing managers,222,"1,362",123,"1,431",99,"1,229",194,"1,271",90,"1,420",104,"1,138",187,"1,274",95,"1,400",92,"1,169"
"Transportation, storage, and distribution managers",269,"1,131",226,"1,138",43,–,274,"1,039",225,"1,061",49,–,288,990,237,990,51,988
"Farmers, ranchers, and other agricultural managers",119,945,99,"1,010",21,–,121,"1,001",100,963,21,–,119,892,102,906,17,–
Construction managers,625,"1,431",572,"1,467",53,"1,202",582,"1,428",526,"1,439",56,"1,243",487,"1,395",452,"1,401",35,–
Education administrators,857,"1,381",294,"1,563",563,"1,245",801,"1,367",304,"1,561",497,"1,243",838,"1,381",297,"1,528",541,"1,280"
Architectural and engineering managers,149,"2,226",131,"2,285",19,–,128,"1,999",119,"2,020",10,–,143,"2,258",134,"2,265",9,–
Food service managers,827,809,420,922,407,708,816,753,421,894,394,674,760,739,410,853,350,632
Funeral service managers,0,–,0,–,0,–,9,–,4,–,5,–,13,–,11,–,1,–
Gaming managers,23,–,15,–,8,–,23,–,17,–,6,–,18,–,14,–,4,–
Lodging managers,112,955,48,–,64,920,116,882,54,982,62,844,124,929,59,"1,068",64,764
Medical and health services managers,567,"1,408",149,"1,729",418,"1,331",610,"1,319",177,"1,490",433,"1,177",533,"1,402",133,"1,610",399,"1,254"
Natural sciences managers,8,–,4,–,4,–,17,–,10,–,7,–,14,–,6,–,8,–
Postmasters and mail superintendents,22,–,8,–,15,–,23,–,13,–,10,–,23,–,12,–,11,–
"Property, real estate, and community association managers",390,"1,018",181,"1,148",208,927,421,957,181,"1,163",241,873,402,959,181,"1,157",221,815
Social and community service managers,363,"1,141",112,"1,336",251,"1,057",337,"1,136",101,"1,281",236,"1,052",363,"1,079",115,"1,206",248,992
Emergency management directors,9,–,6,–,3,–,10,–,4,–,7,–,8,–,5,–,3,–
